"","X","ID.Final","minR","maxR","Rdiff","meanX","minX","maxX","Xdiff","minY","maxY","Ydiff","minT","maxT","Tdiff","minAngle","maxAngle","clicks","RateR","RateT","Error.Indicator","OffShore.Indicator","Shelf.Indicator","Beginning","End","T.Indicator","maxW.Indicator","minW.Indicator","maxY.Indicator","ID","X","maxY","minY","Wmax.I","Wmin.I","Detections In Zone","Total Detections","First","Last"
"44",44,3034,3936.052552,4450.974976,514.922424,4000.05772802041,3909.707727,4102.384566,192.676839,-1931.613361,832.4812364,2764.0945974,472,481,9,78.05883059,115.7201522,686,1.33223951419913,76.2222222222222,0,0,1,1,1,1,1,1,1,3034,4000.05772802041,832.4812364,-1931.613361,0,1,6,6,6,11
"45",45,3035,5050.640498,5460.351998,409.7115,4881.52461138053,4834.565335,4970.674232,136.108897,-2368.797462,-1278.986711,1089.810751,477,480,3,104.6689197,115.9877726,113,0.275803827815426,37.6666666666667,0,0,1,2,2,1,1,1,1,3035,4881.52461138053,-1278.986711,-2368.797462,0,1,2,3,10,11
"46",46,3036,2861.285108,3356.777228,495.49212,2066.72495535033,1930.301355,2225.164045,294.86269,1798.776651,2678.318636,879.541985,485,488,3,36.3135545,51.04865969,451,0.910206200655623,150.333333333333,0,0,1,1,1,1,1,1,1,3036,2066.72495535033,2678.318636,1798.776651,1,1,3,3,2,4
"47",47,3037,3081.396665,3371.12423,289.727565,3013.35600783614,2901.33072,3065.994439,164.663719,307.7068554,1581.32246,1273.6156046,483,488,5,62.02551476,84.26894787,415,1.43238010508251,83,0,0,1,1,1,1,1,1,1,3037,3013.35600783614,1581.32246,307.7068554,1,1,4,4,4,7
"48",48,3038,1014.432752,3073.501995,2059.069243,884.095401669565,697.2113116,1158.820932,461.6096204,531.3128535,2902.297945,2370.9850915,488,496,8,19.21387367,58.41564367,552,0.268082291004334,69,0,0,1,1,1,1,1,1,1,3038,884.095401669565,2902.297945,531.3128535,1,1,5,5,2,6
"49",49,3039,484.4129433,3006.220618,2521.8076747,464.787770083438,329.685024,742.5673369,412.8823129,-1849.043373,2913.066452,4762.109825,488,502,14,12.29941107,162.1427896,477,0.189150031061249,34.0714285714286,0,0,1,1,1,1,1,1,1,3039,464.787770083438,2913.066452,-1849.043373,1,0,7,7,2,11
"50",50,3040,861.6981619,3248.219628,2386.5214661,826.244040966444,288.0311686,1252.570764,964.5395954,-1166.479223,3227.307613,4393.786836,494,508,14,5.642727059,133.9188497,599,0.25099292359556,42.7857142857143,1,0,1,1,1,1,1,1,1,3040,826.244040966444,3227.307613,-1166.479223,1,1,9,9,1,10
"51",51,3059,2228.124705,2776.237561,548.112856,2140.83978189501,2043.537597,2220.353889,176.816292,185.9255487,1879.215018,1693.2894693,512,518,6,47.39871246,85.21342642,581,1.06000067985999,96.8333333333333,0,0,1,1,1,1,1,1,1,3059,2140.83978189501,1879.215018,185.9255487,1,1,4,4,4,7
"52",52,3060,4010.553665,4751.53567,740.982005,4108.50010568615,4004.914003,4249.694204,244.780201,-2289.903045,270.4762072,2560.3792522,509,517,8,86.15345853,118.8115094,650,0.877214285386053,81.25,0,0,1,1,1,1,1,1,1,3060,4108.50010568615,270.4762072,-2289.903045,0,1,5,6,7,11
"53",53,3061,3518.514788,5499.992992,1981.478204,2255.96099153623,2158.322087,2359.083043,200.760956,2656.657097,5021.454185,2364.797088,166,173,7,24.07773676,40.97021355,345,0.174112437524445,49.2857142857143,0,1,0,1,1,1,1,1,1,3061,2255.96099153623,5021.454185,2656.657097,1,1,2,6,1,2
"54",54,3088,708.9122388,791.2114515,82.2992127,700.653209701932,644.8227887,791.0222474,146.1994587,17.30217203,312.8874205,295.58524847,220,221,1,64.1887791,88.74699064,414,5.0304247928729,414,0,0,1,1,1,0,1,1,1,3088,700.653209701932,312.8874205,17.30217203,1,1,1,1,7,7
"55",55,3089,11021.40017,11372.10984,350.709669999998,9525.41636653521,8845.249216,10081.81072,1236.561504,-7147.478473,-4452.904022,2694.574451,222,224,2,113.8299861,128.9402838,355,1.01223328116388,177.5,1,0,1,2,1,0,0,1,1,3089,9525.41636653521,-4452.904022,-7147.478473,0,1,0,7,Inf,-Inf
"56",56,3110,2093.268382,3708.423275,1615.154893,1941.87681598472,1840.276049,2088.548629,248.27258,649.998162,3098.03002,2448.031858,538,545,7,33.34212851,71.90955664,458,0.283564134922879,65.4285714285714,0,0,1,1,1,1,1,1,1,3110,1941.87681598472,3098.03002,649.998162,1,1,6,6,1,6
"57",57,3111,1259.146291,3269.263286,2010.116995,779.892884452841,692.8087394,876.4156272,183.6068878,989.7174051,3171.661474,2181.9440689,540,547,7,14.03551026,38.18466091,176,0.0875570926656436,25.1428571428571,0,0,1,1,1,1,1,1,1,3111,779.892884452841,3171.661474,989.7174051,1,1,5,5,1,6
"58",58,3112,273.6536269,413.3525781,139.6989512,212.401765981944,151.479689,390.9763212,239.4966322,125.7271413,286.6846653,160.957524,547,549,2,32.42915078,71.06133594,144,1.03078798203605,72,0,0,1,2,1,0,1,1,1,3112,212.401765981944,286.6846653,125.7271413,1,0,1,1,7,7
"59",59,3113,1232.718617,4560.18145,3327.462833,1054.74337361132,945.7767377,1174.169121,228.3923833,636.2761454,4442.128056,3805.8519106,551,559,8,13.06553973,58.92520993,424,0.127424413518611,53,0,0,1,1,1,1,1,1,1,3113,1054.74337361132,4442.128056,636.2761454,1,1,4,6,2,6
"60",60,3141,723.2914122,2026.875888,1303.5844758,443.569013854592,361.2829359,528.9321706,167.6492347,571.79797,1960.489039,1388.691069,633,638,5,14.70475525,37.76308115,196,0.150354659508902,39.2,0,0,1,1,1,1,1,1,1,3141,443.569013854592,1960.489039,571.79797,1,0,2,2,4,6
"61",61,3147,2016.367386,2229.460491,213.093105,2040.40574532129,1999.416346,2104.122988,104.706642,-773.1254495,-67.39998588,705.72546362,670,671,1,91.9155837,110.290343,498,2.33700663379043,498,0,0,1,1,1,0,1,1,1,3147,2040.40574532129,-67.39998588,-773.1254495,1,1,2,2,8,9
"62",62,3161,349.6176664,350.1420138,0.524347399999954,286.295817839073,239.9260843,308.8346798,68.9085955,164.9865763,254.2990105,89.3124342,709,710,1,43.33422398,61.88786596,151,287.977016764102,151,0,0,1,1,1,0,1,1,1,3161,286.295817839073,254.2990105,164.9865763,1,0,1,1,7,7
"63",63,3162,1878.996919,1978.450513,99.4535940000001,1782.56776873939,1741.629461,1829.395614,87.766153,-901.5812486,-428.8835629,472.6976857,711,711,0,103.1941795,117.1100683,165,1.6590652319714,Inf,0,0,1,1,1,0,1,1,1,3162,1782.56776873939,-428.8835629,-901.5812486,1,1,2,2,8,9
"64",64,3163,1006.588534,1087.587219,80.998685,847.785441390732,814.1280158,879.6900931,65.5620773000001,508.6705002,681.0021702,172.33167,715,715,0,51.2327367,59.64602712,205,2.53090528568458,Inf,0,0,1,2,1,0,1,1,1,3163,847.785441390732,681.0021702,508.6705002,1,1,1,1,6,6
"65",65,3171,3166.924878,3926.32897,759.404092,2571.80247225225,2463.407893,2742.9882,279.580307,1758.086808,3030.805838,1272.71903,747,751,4,39.47353469,56.2796591,222,0.292334479546102,55.5,0,0,1,1,1,1,1,1,1,3171,2571.80247225225,3030.805838,1758.086808,1,1,4,4,1,4
"66",66,3172,577.0207128,2065.914193,1488.8934802,377.616558152676,248.8103459,456.3843541,207.5740082,464.3468096,2032.408547,1568.0617374,330,335,5,9.284119898,36.41566924,355,0.238432100563912,71,0,1,0,1,1,1,1,1,1,3172,377.616558152676,2032.408547,464.3468096,1,0,5,5,3,7
"67",67,3173,87.48818611,736.0678708,648.57968469,154.872333900641,36.51214334,337.5727371,301.06059376,-716.9155122,258.2417723,975.1572845,335,337,2,24.66664591,167.1257951,156,0.240525572543277,78,0,1,0,1,1,0,1,1,1,3173,154.872333900641,258.2417723,-716.9155122,1,0,3,3,7,9
"68",68,3174,3243.082727,4055.372067,812.28934,3218.73022483016,3038.963799,3358.501748,319.537949,-1067.287372,2556.427727,3623.715099,338,350,12,50.63845219,107.8390359,1154,1.4206760364478,96.1666666666667,0,0,1,1,1,1,1,1,1,3174,3218.73022483016,2556.427727,-1067.287372,1,1,9,9,2,10
"69",69,3175,2498.501376,2886.126281,387.624905,2549.85441714947,2417.890738,2638.837609,220.946871,-1302.369351,663.9603737,1966.3297247,351,356,5,74.64491763,116.824061,756,1.95033907844492,151.2,0,0,1,1,1,1,1,1,1,3175,2549.85441714947,663.9603737,-1302.369351,1,1,5,5,6,10
"70",70,3176,355.0909467,1097.398345,742.3073983,251.551041528148,206.4234169,305.1902558,98.7668389,233.1868731,1074.790695,841.6038219,363,367,4,11.57110885,48.95162769,405,0.545596071017901,101.25,0,0,1,1,1,1,1,1,1,3176,251.551041528148,1074.790695,233.1868731,1,0,3,3,5,7
"71",71,3177,1575.892232,2745.081753,1169.189521,1153.36264157321,1043.661397,1305.996284,262.334887,1043.135405,2431.036867,1387.901462,361,366,5,27.33503348,48.55253973,321,0.274549159254738,64.2,0,0,1,2,1,1,1,1,1,3177,1153.36264157321,2431.036867,1043.135405,1,1,3,3,3,5
"72",72,3178,1060.920411,3075.862616,2014.942205,537.627378133739,479.0402046,610.1885203,131.1483157,904.683734,3018.335553,2113.651819,357,364,7,11.09863649,31.48963436,329,0.163280117505901,47,0,0,1,1,1,1,1,1,1,3178,537.627378133739,3018.335553,904.683734,1,1,6,6,1,6
"73",73,3179,434.7916202,1624.372274,1189.5806538,485.699330444017,273.9411672,771.8020273,497.8608601,-1529.890341,591.5335636,2121.4239046,365,371,6,27.70850993,160.3620637,468,0.39341594746436,78,0,0,1,1,1,1,1,1,1,3179,485.699330444017,591.5335636,-1529.890341,1,0,6,6,6,11
"74",74,3180,1927.255156,2155.108795,227.853639,1835.27612540385,1707.662822,1899.655285,191.992463,478.8790579,1171.759674,692.8806161,368,371,3,57.06329353,75.61260517,312,1.36930005318019,104,0,0,1,1,1,1,1,1,1,3180,1835.27612540385,1171.759674,478.8790579,1,1,3,3,5,7
"75",75,3182,901.0098458,4947.818441,4046.8085952,871.982175536083,517.2879882,1379.608188,862.3201998,-2631.244626,4815.387986,7446.632612,407,431,24,11.31513641,168.1238633,1103,0.272560456975477,45.9583333333333,1,0,1,1,1,1,1,1,1,3182,871.982175536083,4815.387986,-2631.244626,1,1,10,15,1,11
"76",76,3183,1322.79523,5178.753945,3855.958715,1170.87126074361,914.3032376,1574.042153,659.7389154,598.9356694,5009.492067,4410.5563976,405,421,16,13.05820666,63.07781468,532,0.137968282163,33.25,1,0,1,1,1,1,1,1,1,3183,1170.87126074361,5009.492067,598.9356694,1,1,6,10,1,6
"77",77,3200,701.624854,1316.008549,614.383695,724.015154173624,484.018825,923.5177421,439.4989171,-1014.295652,970.2459115,1984.5415635,276,283,7,27.20523257,140.4201106,436,0.709654249532127,62.2857142857143,0,0,1,2,1,1,1,1,1,3200,724.015154173624,970.2459115,-1014.295652,1,1,5,5,6,10
"78",78,3209,1838.345451,2926.86254,1088.517089,1968.58608792759,1830.415253,2069.404435,238.989182,-2140.555863,-142.1525023,1998.4033607,371,377,6,94.43493313,136.9995929,580,0.532834997136182,96.6666666666667,0,0,1,1,1,1,1,1,1,3209,1968.58608792759,-142.1525023,-2140.555863,1,1,4,5,8,11
"79",79,3210,1058.319388,1543.539584,485.220196,1040.59359131856,907.1422617,1232.335906,325.1936443,-1090.721176,-24.07125284,1066.64992316,369,372,3,91.30332554,134.9619425,334,0.688347275635658,111.333333333333,0,0,1,2,1,1,1,1,1,3210,1040.59359131856,-24.07125284,-1090.721176,1,1,3,3,8,10
"80",80,3211,3595.221216,3740.873087,145.651871,3570.22965056027,3466.616946,3650.579502,183.962556,-796.6371319,1405.951067,2202.5881989,381,390,9,67.92409345,102.4032504,730,5.01195072186886,81.1111111111111,0,0,1,1,1,1,1,1,1,3211,3570.22965056027,1405.951067,-796.6371319,0,1,5,5,5,9
"81",81,3212,5695.619063,6185.753971,490.134908,5659.582226888,5475.432656,5905.440052,430.007396,-2279.268807,2625.640368,4904.909175,387,404,17,64.48689637,111.6213693,625,1.27515912414873,36.7647058823529,0,0,1,1,2,1,1,1,1,3212,5659.582226888,2625.640368,-2279.268807,0,1,8,9,2,11
"82",82,3214,4157.129901,5190.500558,1033.370657,4160.0737114592,3935.472839,4330.269293,394.796454,-2164.300684,3214.410389,5378.711073,6,20,14,51.73592015,116.9351472,956,0.925127875002164,68.2857142857143,0,0,1,1,1,1,1,1,1,3214,4160.0737114592,3214.410389,-2164.300684,0,1,9,10,1,11
"83",83,3215,4640.778222,4807.576981,166.798759,4654.90615444767,4627.161335,4690.906301,63.7449660000002,-1069.86572,-95.25878898,974.60693102,432,435,3,91.17619523,102.8581478,172,1.03118273200102,57.3333333333333,0,0,1,2,2,1,1,1,1,3215,4654.90615444767,-95.25878898,-1069.86572,0,1,3,3,8,10
"84",84,3217,1440.642273,1665.922947,225.280674,1454.31152651599,1319.361639,1595.661935,276.300296,-574.0606736,772.1807513,1346.2414249,442,446,4,60.50809944,110.1568197,719,3.19157425816295,179.75,0,0,1,2,1,1,1,1,1,3217,1454.31152651599,772.1807513,-574.0606736,1,1,4,4,6,9
"85",85,3218,2597.574299,4331.024466,1733.450167,2515.92672321212,2424.695667,2672.446584,247.750917,-3543.932558,-832.7370374,2711.1955206,444,451,7,108.6981986,144.9116977,231,0.133260248490316,33,0,0,1,1,2,1,1,1,1,3218,2515.92672321212,-832.7370374,-3543.932558,1,1,3,7,9,11
"86",86,3219,3767.596116,6332.620328,2565.024212,3747.37064084466,3542.999072,3866.178898,323.179826,-5248.736781,-733.8280629,4514.9087181,462,471,9,101.2315314,145.9799392,618,0.24093339825363,68.6666666666667,0,0,1,2,2,1,1,1,1,3219,3747.37064084466,-733.8280629,-5248.736781,0,1,3,8,9,11
