"","X","ID.Final","minR","maxR","Rdiff","meanX","minX","maxX","Xdiff","minY","maxY","Ydiff","minT","maxT","Tdiff","minAngle","maxAngle","clicks","RateR","RateT","Error.Indicator","OffShore.Indicator","Shelf.Indicator","Beginning","End","T.Indicator","maxW.Indicator","minW.Indicator","maxY.Indicator","ID","X","maxY","minY","Wmax.I","Wmin.I","Detections In Zone","Total Detections","First","Last"
"1",1,1006,982.8147517,3369.340773,2386.5260213,805.045856835034,633.0025008,1088.755559,455.7530582,-53.46341245,3298.8768,3352.34021245,523,534,11,11.59526125,92.96743966,588,0.24638323435489,53.4545454545455,0,1,0,NA,NA,1,1,1,1,1006,805.045856835034,3298.8768,-53.46341245,1,1,8,8,1,8
"2",2,1042,2024.481499,3999.901638,1975.420139,1900.28584114462,1772.681741,2023.248993,250.567252,70.63181859,3535.324613,3464.69279441,519,531,12,27.88932382,88.00064221,325,0.164521963497103,27.0833333333333,0,1,0,NA,NA,1,1,1,1,1042,1900.28584114462,3535.324613,70.63181859,1,1,6,7,1,7
"3",3,1043,1931.331659,4051.037565,2119.705906,1886.32116664905,1706.739939,2061.159857,354.419918,-590.2747655,3664.36412,4254.6388855,521,535,14,25.23732871,106.6504601,681,0.321270982956822,48.6428571428571,0,1,0,NA,NA,1,1,1,1,1043,1886.32116664905,3664.36412,-590.2747655,1,1,9,10,1,9
"4",4,1044,2250.232173,3094.144791,843.912618,2288.17829615291,2236.682959,2411.059376,174.376417,-2040.006672,-115.5933438,1924.4133282,531,537,6,92.94458585,131.4545721,412,0.488202203892157,68.6666666666667,0,1,0,NA,NA,1,1,1,1,1044,2288.17829615291,-115.5933438,-2040.006672,1,1,4,5,8,11
"5",5,1045,1658.55767,3095.011257,1436.453587,1650.4769265356,1530.970211,1785.19864,254.228429,-167.3212239,2556.014119,2723.3353429,523,533,10,34.09033475,95.56332819,323,0.224859336161761,32.3,0,1,0,NA,NA,1,1,1,1,1045,1650.4769265356,2556.014119,-167.3212239,1,1,6,6,2,8
"6",6,2001,845.2958301,2233.907454,1388.6116239,868.961003816568,674.8188751,1079.212206,404.3933309,-2018.800864,967.2623156,2986.0631796,47,53,6,35.92696579,154.6499355,169,0.121704295924985,28.1666666666667,0,0,1,1,1,1,1,1,1,2001,868.961003816568,967.2623156,-2018.800864,1,1,5,6,6,11
"7",7,2016,3544.852521,4677.048125,1132.195604,3388.98781015157,3232.096538,3469.126794,237.030256,890.2000891,3344.630049,2454.4299599,54,63,9,44.34734253,75.47230625,508,0.448685720210586,56.4444444444444,0,1,0,1,2,1,1,1,1,2016,3388.98781015157,3344.630049,890.2000891,1,1,6,6,1,6
"8",8,2017,2586.134492,3432.291853,846.157361,2483.10716288501,2314.368511,2570.663105,256.294594,300.1077585,2484.951785,2184.8440265,58,65,7,43.55333645,83.34127157,687,0.811905718326547,98.1428571428571,0,1,0,1,1,1,1,1,1,2017,2483.10716288501,2484.951785,300.1077585,1,1,5,5,3,7
"9",9,2018,902.6607587,2333.969018,1431.3082593,849.98595146888,692.8780443,1040.845448,347.9674037,-246.6399823,2196.98572,2443.6257023,61,69,8,19.72746975,103.5955487,964,0.67350970256502,120.5,0,1,0,2,1,1,1,1,1,2018,849.98595146888,2196.98572,-246.6399823,1,1,6,6,3,8
"10",10,2019,2098.24506,3102.052503,1003.807443,2018.63746106017,1942.317549,2088.851129,146.53358,198.3262331,2380.186191,2181.8599579,58,66,8,39.88850624,84.5763337,349,0.347676242524135,43.625,0,1,0,1,1,1,1,1,1,2019,2018.63746106017,2380.186191,198.3262331,1,1,4,4,3,7
"11",11,2020,3020.130188,4647.671198,1627.54101,2859.89289205872,2641.591882,2968.736141,327.144259,602.2606827,3783.044015,3180.7833323,73,83,10,35.51481168,78.51856379,579,0.355751404383967,57.9,0,0,1,2,1,1,1,1,1,2020,2859.89289205872,3783.044015,602.2606827,1,1,6,7,1,6
"12",12,2021,3331.987869,3799.676681,467.688812,3288.4853147792,3157.790469,3355.284909,197.49444,129.1027145,1969.267057,1840.1643425,85,91,6,58.09403055,87.78812087,779,1.66563744954412,129.833333333333,0,0,1,1,2,1,1,1,1,2021,3288.4853147792,1969.267057,129.1027145,1,1,4,4,4,7
"13",13,2022,2710.856534,3695.569812,984.713278,2257.56376464202,2179.599269,2344.184222,164.584953,1373.006236,2929.129474,1556.123238,98,103,5,37.57032979,59.57008907,771,0.782969029894608,154.2,0,0,1,1,1,1,1,1,1,2022,2257.56376464202,2929.129474,1373.006236,1,1,4,4,2,5
"14",14,2023,1161.25764,2162.416619,1001.158979,825.847722288699,757.5394776,898.8878413,141.3483637,747.6049243,2023.83253,1276.2276057,99,104,5,20.62395427,49.92507649,469,0.468457068095675,93.8,0,0,1,1,1,1,1,1,1,2023,825.847722288699,2023.83253,747.6049243,1,1,4,4,3,6
"15",15,2024,2655.175318,3463.408434,808.233116,1970.51199736968,1884.233675,2080.488446,196.254771,1649.704154,2832.770262,1183.066108,100,104,4,35.12349307,51.58768456,376,0.465212316294152,94,0,0,1,2,1,1,1,1,1,2024,1970.51199736968,2832.770262,1649.704154,1,1,3,3,2,4
"16",16,2025,3459.606618,4358.331487,898.724869000001,3035.64477862889,2911.062164,3176.544255,265.482091,1561.787304,3077.589823,1515.802519,21,28,7,45.07834352,63.16423707,706,0.785557431815097,100.857142857143,0,0,1,2,2,1,1,1,1,2025,3035.64477862889,3077.589823,1561.787304,1,1,4,4,1,4
"17",17,2026,13331.02944,14544.52911,1213.49967,11982.8974789036,11642.83558,12386.62545,743.789869999999,-8604.494808,-5309.515762,3294.979046,29,35,6,113.4013576,126.4129909,529,0.435929249160818,88.1666666666667,1,0,1,2,2,1,0,1,1,2026,11982.8974789036,-5309.515762,-8604.494808,0,1,0,7,Inf,-Inf
"18",18,2027,2117.951009,4733.644935,2615.693926,1760.00467500546,1323.581118,1959.946083,636.364965,-4542.736779,-1207.603997,3335.132782,36,46,10,124.7625167,163.6724515,183,0.0699623140846029,18.3,1,0,1,2,1,1,1,1,1,2027,1760.00467500546,-1207.603997,-4542.736779,1,1,2,8,10,11
"19",19,2034,8848.17829,9730.947782,882.769491999999,8851.5906200979,8587.594622,8996.310156,408.715533999999,-2967.292592,4576.523063,7543.815655,114,125,11,61.94586109,108.4067544,143,0.161990192565468,13,0,0,1,2,2,1,0,1,1,2034,8851.5906200979,4576.523063,-2967.292592,0,1,7,12,2,11
"20",20,2040,2853.114147,3195.47855,342.364403,2062.02818545038,1981.597571,2136.886857,155.289286,1948.314799,2419.890488,471.575689,66,68,2,40.77451497,46.93145239,131,0.382633237720103,65.5,0,1,0,2,1,0,1,1,1,2040,2062.02818545038,2419.890488,1948.314799,1,1,2,2,3,4
"21",21,2041,2429.971893,2728.919784,298.947891,2242.18058561905,2188.073064,2300.61237,112.539306,844.6536787,1577.223208,732.5695293,67,70,3,54.69240168,69.65954889,189,0.63221720470341,63,0,1,0,2,1,1,1,1,1,2041,2242.18058561905,1577.223208,844.6536787,1,1,3,3,4,6
"22",22,2042,1687.021999,2096.063646,409.041647,1535.97364397076,1469.108075,1591.40912,122.301045,605.1437319,1464.807825,859.6640931,67,70,3,45.66620766,69.18039063,513,1.25415102291528,171,0,1,0,1,1,1,1,1,1,2042,1535.97364397076,1464.807825,605.1437319,1,1,2,2,5,6
"23",23,2043,461.3625829,571.6119841,110.2494012,501.009648790826,451.0229993,531.0332684,80.0102691,-314.1690287,-39.56593989,274.60308881,71,72,1,94.91969897,123.3409494,109,0.988667501261676,109,0,1,0,2,1,0,1,1,1,2043,501.009648790826,-39.56593989,-314.1690287,1,1,1,1,8,8
"24",24,2044,3343.31061,3697.819002,354.508392,2894.55774451563,2764.323626,2943.766717,179.443091,1584.917458,2343.669449,758.751991,78,81,3,50.66914364,61.70209847,64,0.180531692462727,21.3333333333333,0,0,1,2,2,1,1,1,1,2044,2894.55774451563,2343.669449,1584.917458,1,1,2,2,3,4
"25",25,2045,4230.007975,4409.867638,179.859662999999,4115.18950013077,4015.813346,4163.001481,147.188135,804.6787205,1822.134944,1017.4562235,83,85,2,65.59432958,79.06007485,130,0.722785742126074,65,0,0,1,1,2,0,1,1,1,2045,4115.18950013077,1822.134944,804.6787205,0,1,3,3,4,6
"26",26,2046,3516.292894,3595.357354,79.0644600000001,3547.08758670312,3512.599649,3577.372021,64.7723719999999,-511.0530025,219.2130319,730.2660344,89,92,3,86.43050466,98.17873739,320,4.04733049463691,106.666666666667,0,0,1,1,2,1,1,1,1,2046,3547.08758670312,219.2130319,-511.0530025,0,1,3,3,7,9
"27",27,2047,2686.615681,4297.804215,1611.188534,2704.74959334901,2491.133103,3139.895173,648.76207,-1586.231763,2996.975178,4583.206941,80,97,17,45.56948193,119.7102804,957,0.593971456353475,56.2941176470588,1,0,1,1,2,1,1,1,1,2047,2704.74959334901,2996.975178,-1586.231763,1,1,10,10,2,11
"28",28,2048,403.135767,3285.92952,2882.793753,359.675088783231,199.0198465,605.4091839,406.3893374,-1146.329516,3271.371262,4417.700778,100,113,13,5.25105541,159.1719442,811,0.281324322683864,62.3846153846154,0,0,1,1,1,1,1,1,1,2048,359.675088783231,3271.371262,-1146.329516,1,0,10,10,1,10
"29",29,2054,841.125509,3846.526039,3005.40053,785.186601244477,636.5344974,1068.695084,432.1605866,-1380.293815,3755.207391,5135.501206,126,139,13,12.50967844,144.7390715,679,0.225926625493741,52.2307692307692,0,1,0,1,2,1,1,1,1,2054,785.186601244477,3755.207391,-1380.293815,1,1,9,10,2,10
"30",30,2055,2252.754195,3958.064953,1705.310758,2262.7545124125,2076.513158,2421.413691,344.900533,-2122.823526,3248.096506,5370.920032,127,143,16,34.82562852,132.0136641,720,0.422210436791251,45,0,1,0,2,1,1,1,1,1,2055,2262.7545124125,3248.096506,-2122.823526,1,1,11,12,1,11
"31",31,2056,4290.604894,5002.161641,711.556747,4277.9835744188,4219.24114,4354.377731,135.136590999999,-2499.153425,-633.2094645,1865.9439605,135,141,6,98.4867721,119.9745541,117,0.16442820687638,19.5,0,1,0,2,2,1,1,1,1,2056,4277.9835744188,-633.2094645,-2499.153425,0,1,2,3,9,11
"32",32,3001,1292.605184,8049.514912,6756.909728,1389.70202519619,1072.925252,3052.140609,1979.215357,-230.4765857,7473.03147,7703.5080557,239,265,26,20.76156722,99.34109216,525,0.0776982409317161,20.1923076923077,1,0,1,1,1,1,1,1,0,3001,1389.70202519619,7473.03147,-230.4765857,1,1,7,12,2,8
"33",33,3002,1541.888362,6159.986741,4618.098379,1676.16494528323,1273.226128,2850.68496,1577.458832,-189.0041617,5497.53224,5686.5364017,241,262,21,26.81619012,96.71722035,632,0.136852866295337,30.0952380952381,1,0,1,1,1,1,1,1,1,3002,1676.16494528323,5497.53224,-189.0041617,1,1,7,11,1,8
"34",34,3003,1370.184858,1621.662368,251.47751,1438.75048447493,1222.343128,1573.748375,351.405247,-561.0667797,840.7120098,1401.7787895,260,265,5,56.33661605,110.2418214,339,1.34803307063125,67.8,0,0,1,2,1,1,1,1,1,3003,1438.75048447493,840.7120098,-561.0667797,1,1,4,4,6,9
"35",35,3004,3258.582668,4550.118983,1291.536315,3056.35530199371,2965.966628,3199.494418,233.52779,638.149393,3393.62235,2755.472957,251,260,9,41.7694413,78.70643498,159,0.123109198056115,17.6666666666667,0,0,1,1,1,1,1,1,1,3004,3056.35530199371,3393.62235,638.149393,1,1,5,5,1,6
"36",36,3005,1167.524931,4365.16402,3197.639089,965.764812571548,717.3834483,1061.013261,343.6298127,510.6198245,4278.096635,3767.4768105,266,275,9,10.01874516,64.06494777,239,0.0747426439782304,26.5555555555556,0,0,1,1,1,1,1,1,1,3005,965.764812571548,4278.096635,510.6198245,1,1,5,6,1,6
"37",37,3006,569.3058107,1853.578444,1284.2726333,585.863560612614,429.1336446,816.0330042,386.8993596,-1644.285942,1798.249049,3442.534991,287,298,11,14.03448658,157.6733734,547,0.425922024511616,49.7272727272727,0,0,1,1,2,1,1,1,1,3006,585.863560612614,1798.249049,-1644.285942,1,1,8,8,4,11
"38",38,3007,3189.260768,4185.515517,996.254749,3133.19352173342,3014.487467,3462.521534,448.034067,-2488.03717,2006.352347,4494.389517,301,312,11,56.35347637,126.472755,754,0.756834535300168,68.5454545454545,0,0,1,1,1,1,1,1,1,3007,3133.19352173342,2006.352347,-2488.03717,1,1,6,7,3,10
"39",39,3008,1036.578617,3011.183737,1974.60512,1144.54809835215,896.6282024,1280.627729,383.9995266,-2781.858526,678.6213683,3460.4798943,313,324,11,52.87942359,158.0476131,629,0.318544702244062,57.1818181818182,0,0,1,1,1,1,1,1,1,3008,1144.54809835215,678.6213683,-2781.858526,1,1,6,8,6,11
"40",40,3009,1359.891853,1556.63966,196.747807,1298.96938893825,1211.290064,1382.824176,171.534112,71.54505692,926.9400731,855.39501618,325,329,4,53.45351465,87.03828222,502,2.55148968445681,125.5,0,0,1,1,2,1,1,1,1,3009,1298.96938893825,926.9400731,71.54505692,1,1,2,2,6,7
"41",41,3026,2329.115582,3791.304138,1462.188556,2183.02159053807,1844.048733,2310.12071,466.071977,316.0045699,3312.62303,2996.6184601,436,441,5,29.10352826,82.2023307,394,0.269459091567394,78.8,0,0,1,1,1,1,1,1,1,3026,2183.02159053807,3312.62303,316.0045699,1,1,5,5,1,7
"42",42,3028,1144.246931,2155.860389,1011.613458,1295.28946778037,1024.179381,1504.608318,480.428937,-1655.499854,559.5770373,2215.0768913,454,461,7,61.3493192,140.1663418,601,0.594100439498107,85.8571428571429,0,0,1,1,1,1,1,1,1,3028,1295.28946778037,559.5770373,-1655.499854,1,1,6,6,6,11
"43",43,3033,5280.300957,5548.965788,268.664831,5314.60044930092,5202.957079,5388.682122,185.725043,-1522.112417,1324.579393,2846.69181,472,480,8,75.75153122,105.9206749,545,2.02854984022825,68.125,0,0,1,1,1,1,1,1,1,3033,5314.60044930092,1324.579393,-1522.112417,0,1,7,7,5,11
